exam_code,channel,video_id,video_title,source_group,age_observed,cutoff_date,decision,question_count,reason
SAP-C02,CertPro Deep Dive,YPTi63-UGVo,AWS Certified Solutions Architect - Professional (SAP-C02) Part 1 Q1-10,supplied playlist,2 months ago,2025-02-13,processed,10,English captions available and complete options/answers parsed
SAP-C02,CertPro Deep Dive,7MQgLCqaJqo,AWS Certified Solutions Architect - Professional (SAP-C02) Part 2 Q11-20,supplied playlist,2 months ago,2025-02-13,processed,10,English captions available and complete options/answers parsed
SAP-C02,CertPro Deep Dive,HCfeO3ezA0w,AWS Certified Solutions Architect - Professional (SAP-C02) Part 3 Q21-30,supplied playlist,2 months ago,2025-02-13,processed,10,English captions available and complete options/answers parsed
SAP-C02,CertPro Deep Dive,t4UVOGzxmJY,AWS Certified Solutions Architect - Professional (SAP-C02) Part 4 Q31-40,supplied playlist,2 months ago,2025-02-13,processed,10,English captions available and complete options/answers parsed
SAP-C02,CertPro Deep Dive,pnpr4Y_M8Vs,AWS Certified Solutions Architect - Professional (SAP-C02) Part 5 Q41-50,supplied playlist,3 months ago,2025-02-13,processed,10,English captions available and complete options/answers parsed
SAP-C02,CertPro Deep Dive,0bZk9lREEms,AWS Certified Solutions Architect - Professional (SAP-C02) Part 6 Q51-60,supplied playlist,3 months ago,2025-02-13,processed,10,English captions available and complete options/answers parsed
SAP-C02,CertPro Deep Dive,1VPIGtsJc3g,AWS Certified Solutions Architect - Professional (SAP-C02) Part 7 Q61-70,supplied playlist,3 months ago,2025-02-13,processed,10,English captions available and complete options/answers parsed
SAP-C02,CertPro Deep Dive,nH2Gany3hJk,AWS Certified Solutions Architect - Professional (SAP-C02) Part 8 Q71-80,supplied playlist,4 months ago,2025-02-13,processed,10,English captions available and complete options/answers parsed
SAP-C02,CertPro Deep Dive,-4nWbi8u3Vs,AWS Certified Solutions Architect - Professional (SAP-C02) Part 9 Q81-90,supplied playlist,4 months ago,2025-02-13,processed,10,English captions available and complete options/answers parsed
SAP-C02,CertPro Deep Dive,0J0kiEUFXuM,AWS Certified Solutions Architect - Professional (SAP-C02) Part 10 Q91-100,supplied playlist,4 months ago,2025-02-13,processed,10,English captions available and complete options/answers parsed
SAP-C02,CertPro Deep Dive,t1JhTbRZrmg,AWS Certified Solutions Architect - Professional (SAP-C02) Part 11 Q101-110,supplied playlist,4 months ago,2025-02-13,processed,10,English captions available and complete options/answers parsed
SAP-C02,CertPro Deep Dive,jDvrDmL1XwA,AWS Certified Solutions Architect - Professional (SAP-C02) Part 12 Q111-120,supplied playlist,5 months ago,2025-02-13,processed,10,English captions available and complete options/answers parsed
SAP-C02,CertPro Deep Dive,hImAIor8RzE,AWS Certified Solutions Architect - Professional (SAP-C02) Part 13 Q121-130,supplied playlist,5 months ago,2025-02-13,processed,10,English captions available and complete options/answers parsed
SAP-C02,CertPro Deep Dive,llVHJUMxrVA,AWS Certified Solutions Architect - Professional (SAP-C02) Part 14 Q131-140,supplied playlist,5 months ago,2025-02-13,processed,10,English captions available and complete options/answers parsed
SAP-C02,CertPro Deep Dive,Ug5YXBy5etQ,AWS Certified Solutions Architect - Professional (SAP-C02) Part 15 Q141-150,supplied playlist,5 months ago,2025-02-13,processed,10,English captions available and complete options/answers parsed
