exam_code,topic,question,option_a,option_b,option_c,option_d,option_e,option_f,correct_answer
SAP-C02,Task 1.1: Architect network connectivity strategies.,"a company has introduced a new policy that allows employees to work remotely from their homes if they connect by using a VPN. The company is hosting internal applications with VPCs in multiple AWS accounts. Currently, the applications are accessible from the company's on premises office network through an AWS sightto-sightVPN connection. The VPC in the company's main AWS account has peering connections established with VPCs in other AWS accounts. A solutions architect must design a scalable AWS Client VPN solution for employees to use while they work from home. What is the most cost-effective solution that meets these requirements?",Create a Client VPN endpoint in each AWS account. Configure required routing that allows access to internal applications.,Create a Client VPN endpoint in the main AWS account. Configure required routing that allows access to internal applications.,Create a Client VPN endpoint in the main AWS account. Provision a transit gateway that is connected to each AWS account. Configure required routing that allows access to internal applications.,Create a Client VPN endpoint in the main AWS account. Establish connectivity between the Client VPN endpoint and the AWS sightto-sightVPN.,,,B
SAP-C02,Task 4.2: Determine the optimal migration approach for existing workloads.,a company is planning to migrate an application to AWS. The application runs as a Docker container and uses an NFS version for fileshare. A solution's architect must design a secure and scalable containerized solution that does not require provisioning or management of the underlying infrastructure. Which solution will meet these requirements?,"Deploy the application containers by using Amazon Elastic Container Service Amazon ECS with the Fargate launch type. Use Amazon Elastic File System Amazon EFS for shared storage. Reference the EFS file system ID, container mount point, and EFS authorization IM role in the ECS task definition.",Deploy the application containers by using Amazon Elastic Container Service Amazon ECS with the Fargate launch type. Use Amazon FSX for Luster for shared storage. Reference the fsx for luster file system ID container mount point and fsx for luster authorization IM role in the ECS task definition.,Deploy the application containers by using Amazon elastic container service Amazon ECS with the Amazon EC2 launch type and autoscaling turned on. Use Amazon Elastic file system Amazon EFS for shared storage. Mount the EFS file system on the ECS container instances. Add the EFS authorization IM RO to the EC2 instance profile.,"Deploy the application containers by using Amazon Elastic Container Service, Amazon ECS with the Amazon EC2 launch type and autoscaling turned on. Use Amazon Elastic Block Store. Amazon EBS volumes with multiattach enabled for shared storage. Attach the EBS volumes to ECS container instances. Add the EBS authorization IM RO to an EC2 instance profile. Okay, let's break",,,A
SAP-C02,Task 1.1: Architect network connectivity strategies.,"A company is migrating some of its applications to AWS. The company wants to migrate and modernize the applications quickly after it finalizes networking and security strategies. The company has set up an AWS Direct Connect connection in a central network account. The company expects to have hundreds of AWS accounts and VPCs in the near future. The corporate network must be able to access the resources on AWS seamlessly and also must be able to communicate with all the VPCs. The company also wants to route its cloud resources to the internet through its on- premises data center. Which combination of steps will meet these requirements? Choose three. A create a direct connect gateway in the central account. In each of the accounts, create an association proposal by using the direct connect gateway and the account ID for every virtual private gateway.","Choose three. A create a direct connect gateway in the central account. In each of the accounts, create an association proposal by using the direct connect gateway and the account ID for every virtual private gateway.",Create a direct connect gateway and a transit gateway in the central network account. Attach the transit gateway to the direct connect gateway by using a transit vif.,Provision an internet gateway. Attach the internet gateway to subnets. Allow internet traffic through the gateway.,Share the transit gateway with other accounts. Attach VPCs to the transit gateway.,Provision VPC peering as necessary.,Provision only private subnets. Open the necessary route on the transit gateway and customer gateway to allow outbound internet traffic from AWS to flow through NAT services that run in the data center.,"B,D,F"
SAP-C02,Task 1.1: Architect network connectivity strategies.,A solutions architect is designing an AWS account structure for a company that consists of multiple teams. All the teams will work in the same AWS region. The company needs a VPC that is connected to the on- premises network. The company expects less than 50 megabits per second of total traffic to and from the on- premises network. Which combination of steps will meet these requirements most cost effectively? Choose two. A create an AWS cloud for template that provisions a VPC and the required subnets. Deploy the template to each AWS account.,Choose two. A create an AWS cloud for template that provisions a VPC and the required subnets. Deploy the template to each AWS account.,Create an AWS cloud for template that provisions a VPC and the required subnets. Deploy the template to a shared services account. Share the subnets by using AWS resource access manager.,Use AWS transit gateway along with an AWS sightto-sightVPN for connectivity to the on- premises network. Share the transit gateway by using AWS resource access manager.,Use AWS sightto-sightVPN for connectivity to the on- premises network. Ese direct connect for connectivity to the on- premises network.,"Use AWS Direct Connect for connectivity to the on- premises network. This is not the most cost-effective option. AWS Direct Connect provides a private dedicated physical connection to AWS. While it offers consistent low latency performance, it is substantially more expensive than a sight-to-sightVPN. It involves higher hourly port charges from AWS and requires a contract with a telecommunications provider to establish the physical link. For a low bandwidth requirement of less than 50 megabits per second, the high cost of direct connect is not justified. Therefore, the correct combination is B and",,"B,D"
SAP-C02,Task 1.2: Prescribe security controls.,A research center is migrating to the AWS cloud and has moved its on- premises 1PB object storage to an Amazon S3 bucket. 100 scientists are using this object storage to store their work rellated documents. Each scientist has a personal folder on the object store. All the scientists are members of a single IM user group. The research cent's compliance officer is worried that scientists will be able to access each other's work. The research center has a strict obligation to report on which scientist accesses which documents. The team that is responsible for these reports has little AWS experience and wants a readytouse solution that minimizes operational overhead. Which combination of actions should a solutions architect take to meet these requirements? Choose two. Create an identity policy that grants the user read and write access. Add a condition that specifies that the S3 paths must be prefixed with dollar AWS username. Apply the policy on the scientist's IM user group.,Choose two. Create an identity policy that grants the user read and write access. Add a condition that specifies that the S3 paths must be prefixed with dollar AWS username. Apply the policy on the scientist's IM user group.,Configure a trail with AWS cloud trail to capture all object level events in the S3 bucket. Store the trail output in another S3 bucket. Use Amazon Athena to query the logs and generate reports.,Enable S3 server access logging. Configure another S3 bucket as the target for log delivery. Use Amazon Athena to query the logs and generate reports.,Create an S3 bucket policy that grants read and write access to users in the scientists IM user group.,"Configure a trail with AWS cloud trail to capture all object level events in the S3 bucket and write the events to Amazon Cloudatch. use the Amazon Athena Cloudatch connector to query the logs and generate reports. This scenario presents us with two distinct problems to solve. First,",,"A,B"
SAP-C02,Task 1.3: Design reliable and resilient architectures.,"A company is deploying a new cluster for big data analytics on AWS. The cluster will run across many Linux Amazon EC2 instances that are spread across multiple availability zones. All of the nodes in the cluster must have read and write access to common underlying file storage. The file storage must be highly available, must be resilient, must be compatible with the portable operating system interface PIX and must accommodate high levels of throughput. Which storage solution will meet these requirements?",Provision an AWS storage gateway file gateway NFS fileshare that is attached to an Amazon S3 bucket. Mount the NFS fileshare on each EC2 instance in the cluster.,Provision a new Amazon elastic file system. Amazon EFS file system that uses generalpurpose performance mode. Mount the EFS file system on each EC2 instance in the cluster.,"Provision a new Amazon elastic block store Amazon EBS volume that uses the IO2 volume type. Attach the EBS volume to all of the EC2 instances in the cluster. D provision a new Amazon elastic file system. Amazon EFS file system that uses max IO performance mode. Mount the EFS file system on each EC2 instance in the cluster. Okay, let's break down the requirements for this storage solution. This is key to finding the right answer. We need storage that is shared. All nodes in the cluster need read/write access to a common storage layer. Multi-AZ. The EC2 instances are in multiple availability zones. So the storage must be accessible from all of them. Pussix compatible. It must behave like a standard Linux file system. High throughput. It's for a big data analytics cluster which means performance specifically throughput is a top priority.",Provision a new Amazon EFS file system that uses max IO performance mode. This is the correct answer. Like option,,,C
SAP-C02,Task 1.2: Prescribe security controls.,A company needs to use an AWS transfer family SFTP enabled server with an Amazon S3 bucket to receive updates from a third party data supplier. The data is encrypted with pretty good privacy. PGP encryption. The company needs a solution that will automatically decrypt the data after the company receives the data. A solutions architect will use a transfer family managed workflow. The company has created an IM service role by using an IM policy that allows access to AWS secrets manager and the S3 bucket. The ROS's trust relationship allows the ROS's trust relationship allows the https/www.google.com/archquest google.com/archquest mark Q equals sign transfer Amazon AWS.com service to assume the role. What should the solutions architect do next to complete the solution for automatic decryption?,Store the PGP public key in secrets manager. Add a nominal step in the transfer family managed workflow to decrypt files. Configure PGP encryption parameters in the nominal step. Associate the workflow with the transfer family server.,Store the PGP private key in secrets manager. Add an exception handling step in the transfer family managed workflow to decrypt files. Configure PGP encryption parameters in the exception handler. Associate the workflow with the SFTP user.,Store the PGP private key in secrets manager. Add a nominal step in the transfer family managed workflow to decrypt files. Configure PGP decryption parameters in the nominal step. Associate the workflow with the transfer family server.,Store the PGP public key in secrets manager. Add an exception handling step in the transfer family managed workflow to decrypt files. Configure PGP decryption parameters in the exception handler. Associate the workflow with the SFTP user.,,,C
SAP-C02,Task 1.5: Determine cost optimization and visibility strategies.,An entertainment company hosts a ticketing service on a fleet of Linux Amazon EC2 instances that are in an autoscaling group. The ticketing service uses a pricing file. The pricing file is stored in an Amazon S3 bucket that has S3 standard storage. A central pricing solution that is hosted by a third party updates the pricing file. The pricing file is updated every 1 to 15 minutes and has several thousand line items. The pricing file is downloaded to each EC2 instance when the instance launches. The EC2 instances occasionally use outdated pricing information that can result in incorrect charges for customers. Which solution will resolve this problem most cost-effectively?,Create an AWS Lambda function to update an Amazon DynamoB table with new prices each time the pricing file is updated. Update the ticketing service to use Dynamob to look up pricing.,Create an AWS Lambda function to update an Amazon elastic file system. Amazon EFS file share with the pricing file each time the file is updated. Update the ticketing service to use Amazon EFS to access the pricing file.,Load mountpoint for Amazon S3 onto the AMI of the EC2 instances. Configure mount point for Amazon S3 to mount the S3 bucket that contains the pricing file. Update the ticketing service to point to the mount point and path to access the S3 object.,"Create an Amazon Elastic Block Store Amazon EBS volume. Use EBS multiattach to attach the volume to every EC2 instance. When a new EC2 instance launches, configure the new instance to update the pricing file on the EBS volume. Update the ticketing service to point to the new local source. Okay. The heart of",,,C
SAP-C02,Task 1.4: Design a multi-account AWS environment.,"A company hosts a data processing application on Amazon EC2 instances. The application pulls an Amazon Elastic File System, Amazon EFS file system for newly uploaded files. When a new file is detected, the application extracts data from the file and runs logic to select a Docker container image to process the file. The application starts the appropriate container image and passes the file location as a parameter. The data processing that the container performs can take up to 2 hours. When the processing is complete, the code that runs inside the container writes the file back to Amazon EFS and exits. The company needs to refactor the application to eliminate the EC2 instances that are running the containers. Which solution will meet these requirements?",Create an Amazon elastic container service Amazon ECS cluster. Configure the processing to run as AWS Fargate tasks. Extract the container selection logic to run as an Amazon event bridge rule that starts the appropriate Fargate task. Configure the event bridge rule to run when files are added to the EFS file system.,Create an Amazon elastic container service Amazon ECS cluster. Configure the processing to run as AWS Fargate tasks. Update and containerize the container selection logic to run as a Fargate service that starts the appropriate Fargate task. Configure an EFS event notification to invoke the Fargate service when files are added to the EFS file system.,Create an Amazon Elastic Container Service Amazon ECS cluster. Configure the processing to run as AWS Fargate tasks. Extract the container selection logic to run as an AWS Lambda function that starts the appropriate Fargate task. Migrate the storage of file uploads to an Amazon S3 bucket. Update the processing code to use Amazon S3. Configure an S3 event notification to invoke the Lambda function when objects are created.,"Create AWS Lambda container images for the processing. Configure Lambda functions to use the container images. Extract the container selection logic to run as a decision Lambda function that invokes the appropriate Lambda processing function. Migrate the storage of file uploads to an Amazon S3 bucket. Update the processing code to use Amazon S3. Configure an S3 event notification to invoke the decision lambda function when objects are created. Okay. To solve this,",,,C
SAP-C02,Task 1.1: Architect network connectivity strategies.,An events company runs a ticketing platform on AWS. The company's customers configure and schedule their events on the platform. The events result in large increases of traffic to the platform. The company knows the date and time of each customer's events. The company runs the platform on an Amazon Elastic Container Service Amazon ECS cluster. The ECS cluster consists of Amazon EC2 on demand instances that are in an autoscaling group. The autoscaling group uses a predictive scaling policy. The ECS cluster makes frequent requests to an Amazon S3 bucket to download ticket assets. The ECS cluster and the S3 bucket are in the same AWS region and the same AWS account. Traffic between the ECS cluster and the S3 bucket flows across a NAT gateway. The company needs to optimize the cost of the platform without decreasing the platform's availability. Which combination of steps will meet these requirements? Choose to A create a gateway VPC endpoint for the S3 bucket.,Choose to A create a gateway VPC endpoint for the S3 bucket.,Add another ECS capacity provider that uses an autoscaling group of spot instances. Configure the new capacity provider strategy to have the same weight as the existing capacity provider strategy.,Create on demand capacity reservations for the applicable instance type for the time period of the scheduled scaling policies.,Enable S3 transfer acceleration on the S3 bucket.,Replace the predictive scaling policy with scheduled scaling policies for the scheduled events.,,"A,E"
