exam_code,topic,question,option_a,option_b,option_c,option_d,option_e,option_f,correct_answer,question_number,source_video_id,source_timestamp,parse_status
SAP-C02,Task 1.1: Architect network connectivity strategies.,"A company runs an application on an Amazon EC2 instance in a private VPC. The application accesses data from an Amazon S3 bucket. Currently, the application has outbound internet access through existing NAT gateways. The company establishes an AWS site-to-site VPN connection from the company's on-premises office to the VPC. The company wants both the application and the on-premises users to access the S3 bucket without traversing the public internet. The company also wants to remove the NAT gateways. Which solution will meet these requirements?","create an S3 gateway endpoint with private DNS inside the VPC, update the routing for the on-premises environment to route the traffic for the S3 bucket to the gateway endpoint that is inside the VPC. Update the on-premises DNS to use the private DNS names for the S3 bucket.",create both an S3 gateway endpoint and an S3 interface endpoint with private DNS inside the VPC. Update the routing for each of the VPC subnets and the on-premises environment. Update the on-premises DNS to use the private DNS names for the S3 bucket.,install Mountpoint for Amazon S3 on the EC2 instance. Mount the S3 bucket directly to the EC2 instance. Configure the application to use the new mount point to access the S3 bucket.,install storage browser for S3 on the EC2 instance and add it to the application. Ensure that the users of the application use storage browser to access the S3 data.,,,B,1,-EwMZqRAaQk,0:51,parsed
SAP-C02,Task 1.5: Determine cost optimization and visibility strategies.,A company ingests and processes streaming market data. The data rate is constant. A nightly process that calculates aggregate statistics takes 4 hours to complete. The statistical analysis is not critical to the business and data points are processed during the next iteration if a particular run next iteration if a particular run fails. The current architecture uses a pool of Amazon EC2 reserved instances with 1-year reservations. These EC2 instances run full-time to ingest and store the streaming data in attached Amazon EBS streaming data in attached Amazon EBS volumes. A scheduled script launches EC2 on-demand instances each night to perform the nightly processing. The instances access the stored data from NFS shares on the ingestion servers. The script terminates the instances when the processing is complete. The reserved instance reservations are expiring. The company needs to determine whether to purchase new reservations or implement a new design. Which solution will meet these requirements most cost-effectively? Most.,update the ingestion process to use Amazon Data Firehose to save data to Amazon S3. Use a scheduled script to launch a fleet of EC2 on-demand instances each night to perform the batch processing of the S3 data. Configure the script to terminate the instances when the processing is the instances when the processing is complete.,Update the ingestion process to use Amazon Data Firehose to save data to Amazon S3. Use AWS Batch with spot instances to perform nightly processing with a maximum spot price that is 50% of the on-demand price.,Update the ingestion process to use a fleet of EC2 reserved instances with 3-year reservations behind a network load balancer. Use AWS Batch with spot instances to perform nightly processing with a maximum spot price that is 50% of the on-demand price.,Update the ingestion process to use Amazon Data Firehose to save data to Amazon Redshift. Use Amazon EventBridge to schedule an AWS Lambda function to run nightly to query Amazon Redshift to generate the daily statistics.,,,B,2,-EwMZqRAaQk,2:53,parsed
SAP-C02,Task 1.4: Design a multi-account AWS environment.,A company is deploying a third-party web application to an AWS account. The company wants to deploy the application across multiple Amazon EC2 instances. The company must have the ability to scale horizontally when necessary. The application uses browser cookies for session state management. The application requires session affinity. Which solution will meet these requirements?,"Assign each EC2 instance a public IP address. Configure an Amazon Route 53 multi-value A record for the application, enable health checks for the A record, configure a Route 53 resolver rule that ensures a specific cookie value will consistently return the same EC2 instance, access the application by using the Route 53 A record.","place the EC2 instances in an auto scaling group, configure an Amazon CloudFront distribution and set the auto scaling group as the origin, create a CloudFront function to handle viewer requests, include cookie processing logic to ensure that users are directed to the correct EC2 instance. Access the application by using the CloudFront distribution URL.","place the EC2 instances in an auto scaling group, configure a public application load balancer ALB and configure the ALB to direct traffic for the application to the auto scaling group, enable sticky sessions on the target group for the application cookies, access the application by using the ALB domain name.","configure a gateway load balancer GWLB, register the EC2 instances as a target group by using their instance IDs. Enable flow stickiness on the target group, access the application by using the GWLB domain name.",,,C,3,-EwMZqRAaQk,5:19,parsed
SAP-C02,Task 1.2: Prescribe security controls.,a company established a data sharing agreement with a supplier. A solutions architect must establish bidirectional access to Amazon S3 buckets for the company's organization in AWS organizations and the supplier's organization. The company's S3 buckets are in the US East 1 region. The supplier's buckets are in the US West 1 region. The company must encrypt data at rest and collect logs of all S3 bucket access. Which solution will meet these requirements?,"Create S3 access grants that have specific permissions in the source accounts. Use AWS Resource Access Manager, AWS RAM, to share the access grants with both organizations. Use server-side encryption with AWS KMS keys, SSE-KMS, to encrypt the data. Grant the target accounts access to the KMS keys. Configure AWS CloudTrail to log S3 data events.","Set up VPC peering connections between the VPCs of the two organizations. Use AWS PrivateLink to implement S3 interface endpoints. Configure IAM policies in each organization to control endpoint access. Use Amazon S3 server-side encryption with Amazon S3 managed keys, SSE-S3, to encrypt the data. Enable VPC flow logs.","Create S3 access points for both organizations and use AWS Resource Access Manager, AWS RAM, to share the access points. Attach IAM policies that grant cross-organization access to the access points. Use customer-managed AWS KMS keys to encrypt the data. Enable AWS CloudTrail in both regions.","Configure S3 cross-region replication. Create an SCP to allow S3 get object and S3 object actions. Share the SCP between both organizations. Use Amazon S3 server-side encryption with Amazon S3 managed keys, SSE-S3, to encrypt the data. Implement S3 server access logging.",,,C,4,-EwMZqRAaQk,7:32,parsed
SAP-C02,Task 1.3: Design reliable and resilient architectures.,"resilience, decoupling chained calls. A retail business runs an orders and payments solution that uses more than 100 AWS Lambda functions that are written in Python. As the company's product catalog grows, the company observes that many of the functions time out. The company reconfigures the functions to have the maximum available time out values, and the company increases memory for the the company increases memory for the functions. However, the functions continue to time However, the functions continue to time out. The company investigates the time out issue and finds that most failures occur when several functions have been chained together, which results in the initial function timing out while it waits for responses. A solutions architect must resolve these time out issues while maintaining the cost and operational benefits of using Lambda functions. Which solution will meet these requirements with the minimum amount of application changes?",convert the solution to run in containers. Deploy an Amazon EKS cluster and enable auto scaling for the containers.,rewrite the Lambda functions in Java. Implement Amazon SQS queues between functions.,convert the solution to use an AWS Step Functions workflow to invoke the Lambda functions. Remove the direct function-to-function invocations.,"combine groups of linked functions together in a single container image. Deploy the container by using Amazon ECS on Amazon EC2 Spot Instances. The AWS Solutions Architect Professional exam is not a recall test. It is a decision-making exam under architectural constraints. Success comes from understanding how to balance competing requirements, evaluate tradeoffs between services, design systems that scale globally, and fail gracefully. Practicing scenario-based questions like these helps you develop the mindset of a real-world cloud architect, not just a certification candidate. If you want more practice questions designed around complex architecture scenarios, check the link in the description for additional resources available on Cert Boosters. Subscribe for more cloud architecture and certification practice sessions. Thanks for watching, and remember, great architects don't just build systems that work, they build systems that keep working when everything changes. The Microsoft SQL AI Developer Associate certification exam isn't about writing isolated SQL queries. It's about building secure, scalable, AI-ready database solutions that work in production. Practice questions like these help you choose the right SQL and AI features for each scenario. Balance performance, security, and maintainability. Think like a developer working alongside AI engineers and architects. If you want more practice questions that closely match the exam's depth and structure, check the link in the description for additional resources available on Cert Boosters. Subscribe to the channel for more Microsoft SQL, Azure, and AI certification practice sessions. Thanks for watching, and remember, the future of AI applications runs on well-designed data platforms.",,,,5,-EwMZqRAaQk,10:06,review
SAP-C02,Task 2.1: Design a deployment strategy to meet business requirements.,You have been given the task to define multiple AWS Data Pipeline schedules for different activities in the same pipeline. Which of the following would successfully accomplish this task?,creating multiple pipeline definition files.,defining multiple pipeline definitions in your schedule objects file and associating the desired schedule to the correct activity via its schedule field.,defining multiple schedule objects in your pipeline definition file and associating the desired schedule to the correct activity via its schedule field.,defining multiple schedule objects in the schedule field.,,,C,1,633Z_0eyySc,0:37,parsed
SAP-C02,Task 2.1: Design a deployment strategy to meet business requirements.,"You have recently joined a startup company building sensors to measure street noise and air quality in urban areas. The company has been running a pilot deployment of around 100 sensors for 3 months. Each sensor uploads 1 kilobyte of sensor data every minute to a backend hosted on AWS. During the pilot, you measured a peak or 10 IOPS on the database, and you stored an average of 3 GB of sensor data per month in the database. The current deployment consists of a load-balanced, auto-scaled ingestion layer using EC2 instances and a PostgreSQL RDS database with 500 GB standard storage. The pilot is considered a success, and your CEO has managed to get the attention or some potential investors. The business plan requires a deployment of at least 100k sensors, which needs to be supported by the backend. You also need to store sensor data for at least 2 years to be able to compare year-over-year improvements. To secure funding, you have to make sure that the platform meets these requirements and leaves room for further scaling. Which setup would meet the requirements?",Add an SQS queue to the ingestion layer to buffer writes to the RDS instance.,Ingest data into a DynamoDB table and move old data to a Redshift cluster.,Replace the RDS instance with a six-node Redshift cluster with 96 TB of storage.,keep the current architecture but upgrade RDS storage to 3 terabytes and 10K provisioned IOPS.,,,B,2,633Z_0eyySc,4:16,parsed
SAP-C02,Task 1.3: Design reliable and resilient architectures.,You're running an application on premises due to its dependency on on premises due to its dependency on non-x86 hardware and want to use AWS for data backup. Your backup application is only able to write to POSIX-compatible block-based storage. You have 140 terabytes of data and would like to mount it as a single folder on your file server. Users must be able to access portions of this data while the backups are taking place. What backup solution would be most appropriate for this use case?,use Storage Gateway and configure it to use gateway cached volumes.,configure your backup software to use S3 as the target for your data backups.,configure your backup software to use Glacier as the target for your data backups.,use Storage Gateway and configure it to use gateway stored volumes.,,,D,3,633Z_0eyySc,8:14,parsed
SAP-C02,Task 1.3: Design reliable and resilient architectures.,"You have a periodic image analysis application that gets some files in input, analyzes them, and for each file writes some data in output to a temp file. The number of files in input per day is high and concentrated in a few hours of the day. Currently, you have a server on EC2 with a large EBS volume that hosts the input data and the results. It takes almost 20 hours per day to complete the process. What services could be used to reduce the elaboration time and improve the availability of the solution?",S3 to store IO files. SQS to distribute elaboration commands to a group of hosts working in parallel. Auto scaling to dynamically size the group of hosts depending on the length of the SQS queue.,EBS with provisioned IOPS to store IO files. SNS to distribute elaboration commands to a group of hosts working in parallel. Auto scaling to dynamically size the group of hosts depending on the number of SNS notifications.,"that S3 to store IO files, SNS to distribute elaboration commands to a group of hosts working in parallel. Auto scaling to dynamically size the group of hosts depending on the number of SNS notifications.",that EBS with provisioned IOPS to store IO files. Use SQS to distribute elaboration commands to a group of hosts working in parallel. Auto scaling to dynamically size the group to hosts depending on the length of the SQS queue.,,,A,4,633Z_0eyySc,11:47,parsed
SAP-C02,Task 1.1: Architect network connectivity strategies.,"In a VPC, can you modify a set of DHCP options after you create them?","Yes, you can modify a set of DHCP options within 48 hours after creation and there are no VPCs associated with them.","Yes, you can modify a set of DHCP options anytime after you create them.","No, you can't modify a set of DHCP options after you create them.","Yes, you can modify a set of DHCP options within 24 hours after creation.",,,C,5,633Z_0eyySc,16:17,parsed
SAP-C02,Task 1.2: Prescribe security controls.,A bucket owner has allowed another account's IAM users to upload or access objects in his bucket. The IAM user of account A is trying to access an object created by the IAM user of account,"it is not possible to give permission to multiple IAM users. Option B, AWS S3 bucket will verify proper rights given by the owner of account A, the bucket owner, as well as by the IAM user B to the object.",What will happen in this scenario?,the bucket policy may not be created as S3 will give error due to conflict of access rights.,It is not possible that the IAM user of one account accesses objects of the other IAM user.,,,B,6,633Z_0eyySc,18:30,parsed
